"currency_key","currency_code","currency_name","population_date"
1,"luna","luna","2024-07-26 20:42:20"
2,"ada","ada","2024-07-26 20:42:20"
3,"enj","enj","2024-07-26 20:42:20"
4,"ftm","ftm","2024-07-26 20:42:20"
5,"snx","snx","2024-07-26 20:42:20"
6,"sol","sol","2024-07-26 20:42:20"
7,"crv","crv","2024-07-26 20:42:20"
8,"gala","gala","2024-07-26 20:42:20"
9,"grt","grt","2024-07-26 20:42:20"
10,"lrc","lrc","2024-07-26 20:42:20"
11,"sushi","sushi","2024-07-26 20:42:20"
12,"dot","dot","2024-07-26 20:42:20"
13,"doge","doge","2024-07-26 20:42:20"
14,"ape","ape","2024-07-26 20:42:20"
15,"avax","avax","2024-07-26 20:42:20"
16,"mkr","mkr","2024-07-26 20:42:20"
17,"omg","omg","2024-07-26 20:42:20"
18,"qnt","qnt","2024-07-26 20:42:20"
19,"xlm","xlm","2024-07-26 20:42:20"
20,"trx","trx","2024-07-26 20:42:20"
21,"algo","algo","2024-07-26 20:42:20"
22,"bal","bal","2024-07-26 20:42:20"
23,"cusd","cusd","2024-07-26 20:42:20"
24,"paxg","paxg","2024-07-26 20:42:20"
25,"pagx","pagx","2024-07-26 20:42:20"
26,"ldo","ldo","2024-07-26 20:42:20"
27,"tigres","tigres","2024-07-26 20:42:20"
28,"eur","eur","2024-07-26 20:42:20"
29,"pepe","pepe","2024-07-26 20:42:20"
30,"atom","atom","2024-07-26 20:42:20"
31,"usd","usd","2024-07-26 20:42:20"
32,"gnt","gnt","2024-07-26 20:42:20"
33,"mana","mana","2024-07-26 20:42:20"
34,"ars","ars","2024-07-26 20:42:20"
35,"btc","btc","2024-07-26 20:42:20"
36,"eth","eth","2024-07-26 20:42:20"
37,"ltc","ltc","2024-07-26 20:42:20"
38,"tusd","tusd","2024-07-26 20:42:20"
39,"mxn","mxn","2024-07-26 20:42:20"
40,"xrp","xrp","2024-07-26 20:42:20"
41,"bch","bch","2024-07-26 20:42:20"
42,"bsv","bsv","2024-07-26 20:42:20"
43,"etc","etc","2024-07-26 20:42:20"
44,"rbtc","rbtc","2024-07-26 20:42:20"
45,"dai","dai","2024-07-26 20:42:20"
46,"bat","bat","2024-07-26 20:42:20"
47,"brl","brl","2024-07-26 20:42:20"
48,"usdt","usdt","2024-07-26 20:42:20"
49,"comp","comp","2024-07-26 20:42:20"
50,"aave","aave","2024-07-26 20:42:20"
51,"link","link","2024-07-26 20:42:20"
52,"uni","uni","2024-07-26 20:42:20"
53,"cop","cop","2024-07-26 20:42:20"
54,"dydx","dydx","2024-07-26 20:42:20"
55,"yfi","yfi","2024-07-26 20:42:20"
56,"axs","axs","2024-07-26 20:42:20"
57,"chz","chz","2024-07-26 20:42:20"
58,"matic","matic","2024-07-26 20:42:20"
59,"sand","sand","2024-07-26 20:42:20"
60,"shib","shib","2024-07-26 20:42:20"
